Fecha "Riesgo País"
2012-06-22T00:00:00Z 891
2012-06-23T00:00:00Z 891
2012-06-24T00:00:00Z 891
2012-06-25T00:00:00Z 893
2012-06-26T00:00:00Z 892
2012-06-27T00:00:00Z 892
2012-06-28T00:00:00Z 893
2012-06-29T00:00:00Z 892
2012-06-30T00:00:00Z 892
2012-07-01T00:00:00Z 892
2012-07-02T00:00:00Z 887
2012-07-03T00:00:00Z 877
2012-07-04T00:00:00Z 877
2012-07-05T00:00:00Z 870
2012-07-06T00:00:00Z 872
2012-07-07T00:00:00Z 872
2012-07-08T00:00:00Z 872
2012-07-09T00:00:00Z 864
2012-07-10T00:00:00Z 864
2012-07-11T00:00:00Z 863
2012-07-12T00:00:00Z 864
2012-07-13T00:00:00Z 847
2012-07-14T00:00:00Z 847
2012-07-15T00:00:00Z 847
2012-07-16T00:00:00Z 850
2012-07-17T00:00:00Z 849
2012-07-18T00:00:00Z 851
2012-07-19T00:00:00Z 834
2012-07-20T00:00:00Z 836
2012-07-21T00:00:00Z 836
2012-07-22T00:00:00Z 836
2012-07-23T00:00:00Z 837
2012-07-24T00:00:00Z 854
2012-07-25T00:00:00Z 853
2012-07-26T00:00:00Z 852
2012-07-27T00:00:00Z 847
2012-07-28T00:00:00Z 847
2012-07-29T00:00:00Z 847
2012-07-30T00:00:00Z 851
2012-07-31T00:00:00Z 852
2012-08-01T00:00:00Z 849
2012-08-02T00:00:00Z 851
2012-08-03T00:00:00Z 831
2012-08-04T00:00:00Z 831
2012-08-05T00:00:00Z 831
2012-08-06T00:00:00Z 832
2012-08-07T00:00:00Z 827
2012-08-08T00:00:00Z 825
2012-08-09T00:00:00Z 825
2012-08-10T00:00:00Z 827
2012-08-11T00:00:00Z 827
2012-08-12T00:00:00Z 827
2012-08-13T00:00:00Z 827
2012-08-14T00:00:00Z 825
2012-08-15T00:00:00Z 796
2012-08-16T00:00:00Z 795
2012-08-17T00:00:00Z 795
2012-08-18T00:00:00Z 795
2012-08-19T00:00:00Z 795
2012-08-20T00:00:00Z 796
2012-08-21T00:00:00Z 770
2012-08-22T00:00:00Z 774
2012-08-23T00:00:00Z 775
2012-08-24T00:00:00Z 774
2012-08-25T00:00:00Z 774
2012-08-26T00:00:00Z 774
2012-08-27T00:00:00Z 775
2012-08-28T00:00:00Z 775
2012-08-29T00:00:00Z 783
2012-08-30T00:00:00Z 786
2012-08-31T00:00:00Z 791
2012-09-01T00:00:00Z 791
2012-09-02T00:00:00Z 791
2012-09-03T00:00:00Z 791
2012-09-04T00:00:00Z 789
2012-09-05T00:00:00Z 788
2012-09-06T00:00:00Z 776
2012-09-07T00:00:00Z 778
2012-09-08T00:00:00Z 778
2012-09-09T00:00:00Z 778
2012-09-10T00:00:00Z 778
2012-09-11T00:00:00Z 778
2012-09-12T00:00:00Z 776
2012-09-13T00:00:00Z 778
2012-09-14T00:00:00Z 723
2012-09-15T00:00:00Z 723
2012-09-16T00:00:00Z 723
2012-09-17T00:00:00Z 722
2012-09-18T00:00:00Z 723
2012-09-19T00:00:00Z 722
2012-09-20T00:00:00Z 722
2012-09-21T00:00:00Z 723
2012-09-22T00:00:00Z 723
2012-09-23T00:00:00Z 723
2012-09-24T00:00:00Z 732
2012-09-25T00:00:00Z 740
2012-09-26T00:00:00Z 741
2012-09-27T00:00:00Z 741
2012-09-28T00:00:00Z 743
2012-09-29T00:00:00Z 743
2012-09-30T00:00:00Z 743
2012-10-01T00:00:00Z 743
2012-10-02T00:00:00Z 743
2012-10-03T00:00:00Z 743
2012-10-04T00:00:00Z 751
2012-10-05T00:00:00Z 748
2012-10-06T00:00:00Z 748
2012-10-07T00:00:00Z 748
2012-10-08T00:00:00Z 748
2012-10-09T00:00:00Z 748
2012-10-10T00:00:00Z 756
2012-10-11T00:00:00Z 756
2012-10-12T00:00:00Z 765
2012-10-13T00:00:00Z 765
2012-10-14T00:00:00Z 765
2012-10-15T00:00:00Z 765
